source,target
"At a later day, I knew the language and the book; therefore, I will here quote the line: though, when I first heard it, it was only like a stroke on sounding brass to me--conveying no meaning:--","Más tarde supe de qué libro se trataba. Citaré, pues, lo que ella repitió, aunque entonces me fue del todo incomprensible:"
"'Une partie de [A game of.] lawn tennis,' suggested Veslovsky with his pleasing smile.","–¿Una partida de tenis? –propuso, con su bella sonrisa, Veselovsky–."
"Four times he stopped, and as many times did his laughter break out afresh with the same violence as at first, whereat Don Quixote grew furious, above all when he heard him say mockingly, ""Thou must know, friend Sancho, that of Heaven's will I was born in this our iron age to revive in it the golden or age of gold; I am he for whom are reserved perils, mighty achievements, valiant deeds;"" and here he went on repeating the words that Don Quixote uttered the first time they heard the awful strokes.","Cuatro veces sosegó, y otras tantas volvió a su risa con el mismo ímpetu que primero; de lo cual ya se daba al diablo don Quijote, y más cuando le oyó decir, como por modo de fisga: -«Has de saber, ¡oh Sancho amigo!, que yo nací, por querer del cielo, en esta nuestra edad de hierro, para resucitar en ella la dorada, o de oro. Yo soy aquél para quien están guardados los peligros, las hazañas grandes, los valerosos fechos...»"
"""What matter, if you are paid for it?"" said Athos, and he threw two pistoles majestically on the table.",Y majestuosamente tiró dos pistolas sobre la mesa.
"Here it was, he told me, that he saw for the first time that mortal enemy of the human race, and here, too, for the first time he declared to her his passion, as honourable as it was devoted, and here it was that at last Marcela ended by scorning and rejecting him so as to bring the tragedy of his wretched life to a close; here, in memory of misfortunes so great, he desired to be laid in the bowels of eternal oblivion.""","Allí me dijo él que vio la vez primera a aquella enemiga mortal del linaje humano, y allí fue también donde la primera vez le declaró su pensamiento, tan honesto como enamorado, y allí fue la última vez donde Marcela le acabó de desengañar y desdeñar, de suerte que puso fin a la tragedia de su miserable vida. Y aquí, en memoria de tantas desdichas, quiso él que le depositasen en las entrañas del eterno olvido."
It is in vain to say human beings ought to be satisfied with tranquillity: they must have action; and they will make it if they cannot find it.,"Es inútil aconsejar calma a los humanos cuando experimentan esa inquietud que yo experimentaba. Si necesitan acción y no la encuentran, ellos mismos la inventarán."
They now had only to make a fireplace and to prepare the supper--an easy task.,Faltaba establecer la cocina y preparar la cena; tarea sencilla y fácil.
"""It is an old maxim of mine that when you have excluded the impossible, whatever remains, however improbable, must be the truth.","»Una vieja máxima mía dice que, cuando has eliminado lo imposible, lo que queda, por muy improbable que parezca, tiene que ser la verdad."
"I kept on working, but the temperature rose to the point of becoming unbearable.","Continué trabajando, pero la temperatura se elevó hasta hacerse intolerable."
"To all this Sancho listened with no little sorrow at heart to see how his hopes of dignity were fading away and vanishing in smoke, and how the fair Princess Micomicona had turned into Dorothea, and the giant into Don Fernando, while his master was sleeping tranquilly, totally unconscious of all that had come to pass.","Todo esto escuchaba Sancho, no con poco dolor de su ánima, viendo que se le desparecían e iban en humo las esperanzas de su ditado, y que la linda princesa Micomicona se le había vuelto en Dorotea, y el gigante en don Fernando, y su amo se estaba durmiendo a sueño suelto, bien descuidado de todo lo sucedido."
"Camilla was struck with alarm at hearing what Lothario said, and with much anger, and great good sense, she reproved him and rebuked his base design and the foolish and mischievous resolution he had made; but as woman has by nature a nimbler wit than man for good and for evil, though it is apt to fail when she sets herself deliberately to reason, Camilla on the spur of the moment thought of a way to remedy what was to all appearance irremediable, and told Lothario to contrive that the next day Anselmo should conceal himself in the place he mentioned, for she hoped from his concealment to obtain the means of their enjoying themselves for the future without any apprehension; and without revealing her purpose to him entirely she charged him to be careful, as soon as Anselmo was concealed, to come to her when Leonela should call him, and to all she said to him to answer as he would have answered had he not known that Anselmo was listening.","Pidióle perdón desta locura, y consejo para poder remedialla y salir bien de tan revuelto laberinto como su mal discurso le había puesto. »Espantada quedó Camila de oír lo que Lotario le decía, y con mucho enojo y muchas y discretas razones le riñó y afeó su mal pensamiento y la simple y mala determinación que había tenido. Pero, como naturalmente tiene la mujer ingenio presto para el bien y para el mal más que el varón, puesto que le va faltando cuando de propósito se pone a hacer discursos, luego al instante halló Camila el modo de remediar tan al parecer inremediable negocio, y dijo a Lotario que procurase que otro día se escondiese Anselmo donde decía, porque ella pensaba sacar de su escondimiento comodidad para que desde allí en adelante los dos se gozasen sin sobresalto alguno; y, sin declararle del todo su pensamiento, le advirtió que tuviese cuidado que, en estando Anselmo escondido, él viniese cuando Leonela le llamase, y que a cuanto ella le dijese le respondiese como respondiera aunque no supiera que Anselmo le escuchaba."
"""Modesty becomes the fair, and moreover laughter that has little cause is great silliness; this, however, I say not to pain or anger you, for my desire is none other than to serve you.""","-Bien parece la mesura en las fermosas, y es mucha sandez además la risa que de leve causa procede; pero no vos lo digo porque os acuitedes ni mostredes mal talante; que el mío non es de ál que de serviros."
"At any rate, Camacho is free-handed, and it is his fancy to screen the whole meadow with boughs and cover it in overhead, so that the sun will have hard work if he tries to get in to reach the grass that covers the soil.","En efecto, el tal Camacho es liberal y hásele antojado de enramar y cubrir todo el prado por arriba, de tal suerte que el sol se ha de ver en trabajo si quiere entrar a visitar las yerbas verdes de que está cubierto el suelo."
"I cried; ""pull yourself together!"" and I poured out some water from a caraffe.",¡Contrólese! ––y le escancié un poco de agua de una garrafa.
"""Oh, you love her still,"" said Kitty, who had not taken her eyes off the young man’s countenance for an instant.","¡Oh, seguís amándola! dijo Ketty, que no había separado un instante los ojos del rostro del joven."
"""What are gurapas?"" asked Don Quixote.",-¿Qué son gurapas? -preguntó don Quijote.
"In one hour after, the ordinance was published in London that no vessel bound for France should leave port, not even the packet boat with letters.","Una hora después fue promulgada en Londres la ordenanza de no dejar salir de los puertos ningún navío cargado para Francia, ni siquiera el paquebote de las camas."
"I gave her a chance to turn over a new leaf, and I tried to save her. With what result?","Lo dejé todo como estaba, le di la posibilidad de enmendarse, de guardar las apariencias –siguió, exaltándose–."
"This commissary was a man of very repulsive mien, with a pointed nose, with yellow and salient cheek bones, with eyes small but keen and penetrating, and an expression of countenance resembling at once the polecat and the fox.","Aquel comisario era un hombre de facha repelente, la nariz puntiaguda, las mejillas amarillas y salientes, los ojos pequeños pero investigadores y vivos, y la fisonomía tenía al mismo tiempo algo de garduña y de zorro."
"He wished to steady himself by the table, dropped the revolver, reeled, and sat down on the floor, looking about him in astonishment.","Trató de apoyarse en el borde de la mesa, soltó el revólver, vaciló y se sentó en el suelo, mirando con sorpresa en tomo suyo."
"Improve his shining tail,",Aprovecha su lustrosa cola
"""So have I,"" Conseil replied.",-Igual que yo -respondió Conseil-.
"She defended herself like a true heroine with a revolver, which she shot through the broken windows whenever a savage made his appearance.","Con revólver en mano, se defendía heroicamente; tirando por entre los cristales rotos, cuando asomaba algún salvaje."
"""How?""",¿Cómo?
"In ten minutes the tide would reach its maximum elevation, and if Captain Nemo hadn't made a rash promise, the Nautilus would immediately break free.","Dentro de diez minutos la marea debía alcanzar su máxima altura y, si el capitán Nemo no había hecho una promesa temeraria, el Nautilus quedaría liberado."
"He could do nothing till he were assured of his fate with Miss Dashwood; and by his rapidity in seeking THAT fate, it is to be supposed, in spite of the jealousy with which he had once thought of Colonel Brandon, in spite of the modesty with which he rated his own deserts, and the politeness with which he talked of his doubts, he did not, upon the whole, expect a very cruel reception.","Nada podía hacer hasta estar seguro de cuál sería su destino con la señorita Dashwood; y es de suponer que por su rapidez en hacer frente a ese destino, a pesar de los celos con que alguna vez había pensado en el coronel Brandon, a pesar de la modestia con que evaluaba sus propios merecimientos y de la gentileza con que hablaba de sus dudas, en última instancia no esperaba una recepción demasiado cruel."
"""Very truly yours, ""IRENE NORTON, née ADLER.""","Irene NORTON, née ADLER.» ––¡Qué mujer!"
There's no basis for any of the accusations you're making; nobody's ever said a word to me about any of these things. Maybe you haven't read the latest contracts I sent in.,No hay motivo alguno para todos los reproches que me hace usted; nunca se me dijo una palabra de todo eso; quizá no haya leído los últimos pedidos que he enviado.
"He can rely on me to tow him to that vessel, if he's agreeable to going with our friend Ned.""",Puede confiar en que yo le remolcaré si decide seguir al amigo Ned.
"At the first word Milady turned, looking at the young man with astonishment; and when he had finished, she said in very good French, ""Monsieur, I should with great confidence place myself under your protection if the person with whom I quarrel were not my brother.""","A las primeras palabras Milady se había vuelto, mirando al joven con extrañeza, y cuando él hubo terminado: Señor dijo ella, en muy buen francés , de todo corazón me pondría bajo vuestra protección si la persona que me molesta no fuera mi hermano."
"Neb!"" repeated the engineer, again pointing in the direction of Granite House.","¡Nab, Top! –tendiendo la mano en dirección al Palacio de granito."
"'Come in, please!' he said, trying to put on an air of indifference, as he entered the hall and took a key from his pocket to unlock the door.","–Hagan el favor –les dijo, tratando de adoptar un aire indiferente, mientras hacía pasar a sus visitantes y les abría la puerta del estudio."
"My uncle, whom the absorbing incidents of the combat had drawn away from his contemplations, began again to look impatiently around him.","Mi tío, a quien los incidentes del combate han hecho olvidar de momento sus absorbentes ideas, vuelve a examinar el mar con la misma impaciencia que antes."
Why have I offended her?,¿Y qué hará ahora?
"Take care what you are doing, senor, for this time it may be safely said you don't know what you are about."" Sancho laboured in vain, for his master was so bent on coming to quarters with these sheeted figures and releasing the lady in black that he did not hear a word; and even had he heard, he would not have turned back if the king had ordered him.","Fatigóse en vano Sancho, porque su amo iba tan puesto en llegar a los ensabanados y en librar a la señora enlutada, que no oyó palabra; y, aunque la oyera, no volviera, si el rey se lo mandara."
"""Yes, professor.""","-Sí, señor profesor."
"An event even occurred of great importance to them both in this respect, namely, Kitty's meeting with Vronsky.",En este aspecto se había producido un hecho muy importante para los dos: el encuentro de Kitty con Vronsky.
"But Dolly, on receiving the telegram, only sighed over the rouble it had cost, and understood that it had been sent toward the end of a dinner. She knew that Steve had a weakness at the end of a dinner-party faire jouer le télégraphe.","Y, en efecto, Daria Alejandrovna, al recibir el telegrama, se limitó a suspirar por el rublo que habían gastado en ello y pensó que su marido lo había mandado después de una comida, ya que Esteban Arkadievich tenía la debilidad de, al final de cada banquete a que asistía, faire jouer le télégraphe."
"Koznyshev thought his younger brother a splendid fellow, with his heart in the right place, but with a mind which, though rather quick, was swayed by the impression of the moment and was therefore full of contradictions.","Para Sergio Ivanovich, su hermano menor era un buen muchacho, con «el corazón en su sitio» (lo que solía expresar en francés), de cerebro bastante ágil, pero esclavo de las impresiones del momento y lleno, por ello, de contradicciones."
"They apply to friends, I suppose: I have no friends.","Supongo que apelarán a sus amigos, pero yo no tengo amigos."
"""Ladies, this damsel hardly understands my language and can speak none but that of her own country, for which reason she does not and cannot answer what has been asked of her.""","-Señoras mías, esta doncella apenas entiende mi lengua, ni sabe hablar otra ninguna sino conforme a su tierra, y por esto no debe de haber respondido, ni responde, a lo que se le ha preguntado."
"I permitted myself the delight of being kind to you; kindness stirred emotion soon: your face became soft in expression, your tones gentle; I liked my name pronounced by your lips in a grateful happy accent.","Me concedí el placer de ser estimado por ti, y en breve aprecié que a la estimación seguía tu emoción en mi presencia. Tu rostro se suavizaba, se dulcificaba tu acento; mi nombre, pronunciado por tus labios, tomaba sonidos agradables."
"""The case has been an interesting one,"" remarked Holmes when our visitors had left us, ""because it serves to show very clearly how simple the explanation may be of an affair which at first sight seems to be almost inexplicable.","––Ha sido un caso interesante ––comentó Holmes cuando nuestros visitantes se hubieron marchado––, porque demuestra con toda claridad lo sencilla que puede ser la explicación de un asunto que a primera vista parece casi inexplicable. No podríamos encontrar otro más inexplicable."
"This woman of whom he writes--whoever she be--or any one, in short, but your own dear self, mama, and Edward, may have been so barbarous to bely me.","Esta mujer sobre la que escribe, quienquiera que sea; o cualquiera, en suma, a excepción de ti, mi querida hermana, y mamá y Edward, puede haber sido tan desalmado como para denigrarme."
"It was translated into all civilised languages. The leading newspapers extracted the most interesting passages, which were commented upon, picked to pieces, discussed, attacked, and defended with equal enthusiasm and determination, both by believers and sceptics.","Fue traducido e impreso en todas las lenguas; los más importantes periódicos publicaron sus principales episodios, que fueron comentados, discutidos, atacados y defendidos con igual entusiasmo por los creyentes a incrédulos."
How many of their friends must have fallen in the struggle?,¿Qué amigos habían sucumbido en la lucha?
"I am sure, for my part, I should never have known he DID like it better than any other colour, if he had not happened to say so.","Por mi parte, estoy segura de que nunca habría sabido que sí lo prefería por sobre todos los demás, de no ser porque a él se le ocurrió decirlo."
"I cry because I am miserable.""",Lloro porque soy muy desgraciada.
"""Ah, senor!"" said the niece, ""your worship had better order these to be burned as well as the others; for it would be no wonder if, after being cured of his chivalry disorder, my uncle, by reading these, took a fancy to turn shepherd and range the woods and fields singing and piping; or, what would be still worse, to turn poet, which they say is an incurable and infectious malady.""","-¡Ay señor! -dijo la sobrina-, bien los puede vuestra merced mandar quemar, como a los demás, porque no sería mucho que, habiendo sanado mi señor tío de la enfermedad caballeresca, leyendo éstos, se le antojase de hacerse pastor y andarse por los bosques y prados cantando y tañendo; y, lo que sería peor, hacerse poeta; que, según dicen, es enfermedad incurable y pegadiza."
"The nearer we approach, the higher mounts the jet of water.","Cuanto más nos aproximamos, más crece el surtidor."
"He throws it out, and would have done the same with the other garments had not he heard the rush of steps below, and only just had time to close the window when the police appeared.""","La tira, y habría hecho lo mismo con las demás prendas de no haber oído pasos apresurados en la planta baja, de manera que sólo le queda tiempo para cerrar la ventana antes de que la policía aparezca."
"In fact, that blackish object was soon only a mile away from us.",Pronto el objeto negruzco estuvo a una milla de distancia.
"""There's our man, Watson!","-¡Ahí está nuestro hombre, Watson!"
"As for my account of this excursion under the waters, I'm well aware that it sounds incredible!",Bien sé que no podré ser verosímil con este relato de excursión bajo el agua.
It was enough to irritate a meeker man than he; for it was foundering almost within the port.,Había en realidad motivo para hacer perder la paciencia al hombre más cachazudo; porque aquello era naufragar dentro del puerto.
The electric log indicated that the Nautilus had reduced speed.,La corredera eléctrica me indicó que la velocidad del Nautilus había sido reducida.
"""You are very kind, Mr. Holmes, but I cannot do that.","––Es usted muy amable, señor Holmes, pero no puedo hacer eso."
"""No, Cyrus!"" said Gideon Spilett, ""but thank God that we have been spared this complication!""","–No, Ciro –repuso Gedeón Spilett–, pero bendito sea Dios que nos ha evitado ese duro trance."
"She and the surgeon, Carter (who dressed Mason's wounds that night he was stabbed and worried), are the only two I have ever admitted to my confidence.","Ella y el médico Carter, el que curó a Mason la noche en que a éste le mordió su hermana, son los únicos que conocen mi secreto."
"The hills beyond Marsh Glen sent the answer faintly back--""Where are you?""",Las montañas devolvieron el eco de mi pregunta y oí repetir: ¿Dónde estás?
Everything had gone so well till now!,¡Hasta entonces todo había marchado bien!
"""Lord Glenarvan could only arrive at one conclusion; that his honest yacht had fallen into the hands of Ben Joyce, and had become a pirate vessel!","En vista de esta contestación, lord Glenarvan sospechó que su yate había caído en poder de Ben Joyce, convirtiéndose en barco de piratas."
He had ceased to strike and was gazing up at the ventilator when suddenly there broke from the silence of the night the most horrible cry to which I have ever listened.,"Había dejado de dar golpes y levantaba la mirada hacia el orificio de ventilación, cuando, de pronto, el silencio de la noche se rompió con el alarido más espantoso que jamás he oído."
"'You see I am going with him as far as Kursk,' said she.",–Ya lo ve usted; también hago el viaje. Acompaño a Alexey hasta Kursk.
"In his eyes she was the only islet, not of kindly feeling only but of affection, in the ocean of hostility and ridicule which surrounded him.","Para Alexey Alejandrovich la Condesa era, en el mar de enemistad y burla que le rodeaba, la única isla de buena disposición y hasta de amor hacia él."
"""In your heart of hearts, do you think that Neville is alive?""","––En el fondo de su corazón, ¿cree usted que Neville está vivo?"
"The locomotive, which was slowly approaching with deafening whistles, was that which, having been detached from the train, had continued its route with such terrific rapidity, carrying off the unconscious engineer and stoker.","No tardó en saberse lo que era. La locomotora, que andaba a corto vapor y dando grandes silbidos, era la que, después de haberse separado del tren, había conlinuado su marcha con tan espantosa velocidad, llevando al maquinista y fogonero inanimados."
[Matter-of-fact.],"¡Ahora, ahora! –––dijo al lacayo, que se acercaba."
"Don't let him know she liked them best, For this must ever be A secret, kept from all the rest, Between yourself and me.'","No dejes que él sepa nunca que ella los quería más, pues debe ser un secreto y entre tú y yo ha de quedar."
"The walls were carefully sounded, and were shown to be quite solid all round, and the flooring was also thoroughly examined, with the same result.","Se examinaron cuidadosamente las paredes, comprobando que eran bien macizas por todas partes, y lo mismo se hizo con el suelo, con idéntico resultado."
"She kept talking of what we should do in our future lives.""",No paraba de hablar de la vida que llevaríamos en el futuro.
"""Monsieur Chevalier, far off or near,"" said Kitty, ""I shall always love you.""","Señor caballero, cerca o lejos dijo Ketty , os amaré siempre."
"And her clothes, they will wear out: how can she get new ones?""","Y cuando se le estropee la ropa, ¿dónde comprará otra nueva?"
"""All right!"" said the seaman; ""wait a bit; Neb is well able to carry help to his master.","Si nos metemos en ese canal, nos exponemos a que la corriente nos arrastre."
'When are you leaving?' she asked.,Dolly no la había visto nunca tan irritada.
"But in the corridor there was nobody, and in despair he returned and addressed Oblonsky, who was quietly smoking.","Pero en el pasillo no aparecía aquel a quien esperaba, y había de volver, desesperado, a la alcoba, agitando los brazos y dirigiéndose a Esteban Arkadievich, que fumaba tranquilamente."
"In all operations on a large scale, both on this and on his other estates, he kept to the simplest and safest methods, and was extremely economical and careful in his expenditure on small details.","En los asuntos de administración, tanto en aquella finca como en las demás propiedades, empleaba siempre los procedimientos más sencillos, menos peligrosos, y se mostraba económico y calculador hasta en las cosas más insignificantes."
"Mr. Reed is dead, and his wife cast me off.""","Reed y, después de morir él, mi tía me envió fuera de su casa."
"Candide burst into a flood of tears, ""O my dear Cunegund, must I then be compelled to quit you just as the Governor was going to honor us with his presence at our wedding!",Candido vertia amargas lágrimas diciendo: ¡Oh mi amada Cunegunda! ¿con que es fuerza que te abandone quando iba el señor gobernador á ser padrino de nuestras bodas?
"""And then,"" he pursued, ""I am cold: no fervour infects me.""",-Y frío... -siguió diciendo.
"When you raise your cry of fire, it will be taken up by quite a number of people.","Cuando empiece a gritar ¡fuego!, mucha gente lo repetirá."
"Let her he 'my lady,' and never mind what happens.""","Séase ella señoría, y venga lo que viniere."
"The Nautilus easily avoided the Money breakers to port and the Victoria reefs to starboard, positioned at longitude 130 degrees on the tenth parallel, which we went along rigorously.","El Nautilus evitó con facilidad los rompientes de Money, a babor, y los arrecifes Victoria, a estribor, situados a 130º de longitud sobre el paralelo 10, que seguíamos rigurosamente."
"He had been to Spain, where he arranged serenades and became intimate with a Spanish woman who played the mandoline.",En sus viajes por España había dado serenatas y había sido el amante de una española que tocaba la guitarra.
"""And suppose he adds that this offer he's making you today won't ever be repeated, then would you accept?""","-Y si añadiera que esa oferta no volvería a hacérsela nunca más, ¿aceptaría usted?"
"Felton, as pale as death, remained some instants with his ear bent and listening; then, when the sound was quite extinct, he breathed like a man awaking from a dream, and rushed out of the apartment.","Felton, pálido como la muerte, permaneció algunos instantes con el oído tenso y escuchando; luego, cuando el ruido se hubo apagado por completo, respiró como un hombre que sale de un sueño, y se precipitó fuera de la habitación."
Will the waves someday deliver that manuscript that contains his full life story?,¿Nos restituirán las olas algún día ese manuscrito que encierra la historia de su vida?
"""And the queen believes--""",Y la reina cree...
"Accordingly, I let myself down into the water, and swam across the channel, which lay between the ship and the sands, and even that with difficulty enough, partly with the weight of the things I had about me, and partly the roughness of the water; for the wind rose very hastily, and before it was quite high water it blew a storm.","Por lo tanto, me arrojé al agua y crucé a nado el canal que se extendía entre el barco y la arena, con mucha dificultad, en parte, por el peso de las cosas que llevaba conmigo y, en parte, por la violencia del agua, agitada por el viento, que cobraba fuerza tan rápidamente, que, antes de que subiera la marea, se había convertido en tormenta."
"I then wrote to Mrs. Fairfax, entreating information on the subject.",Entonces escribí a Mrs.
"Depuis que je suis la vous avez plus d’une fois constaté que vous avez toutes les preuves dont vous avez besoin, Voue n’allez pas les garder pour vous plus longtemps ?",Le he oído decir a usted desde que estoy en esta habitación que contaba ya con todos los datos precisos. Espero que no los tenga ocultos por más tiempo.
"During the three months he had spent abroad with Anna, Vronsky when coming across new people had always asked himself how the new person would be likely to regard his relations with Anna, and in most cases he had found that the men he met understood it in the 'right' way.","En los tres meses que Ana y Vronsky llevaban juntos en el extranjero, tratando gentes nuevas, Vronsky se preguntaba siempre cómo consideraría tal o cual persona sus relaciones con Ana. En la mayoría de los casos, encontraba en los hombres la debida «comprensión» ."
"""See, my Lord,"" said he, in a deep, gloomy tone, ""here is a woman who was under my guard, and who has killed herself!""","Ved, milord dijo con aire sombrío . ¡Ahí tenéis una mujer que estaba bajo mi custodia y que se ha matado!"
I...,Yo...
I have always noticed that you were a sort of pet of his.,Rochester parece apreciarla. Vengo observando hace tiempo su predilección por usted.
But I had not reckoned upon one little incident which turned up a few hours after.,Pero no había contado con un incidente que hubo de sobrevenir algunas horas después.
"""It is a pity to see it; and a pity to see your eyes--and the scar of fire on your forehead: and the worst of it is, one is in danger of loving you too well for all this; and making too much of you.""","-Es triste verlo, y triste ver sus ojos, y doloroso distinguir las cicatrices que las llamas han dejado en su frente... ¡Y lo peor de todo es que le quiero más precisamente por eso!"
"So little do we see before us in the world, and so much reason have we to depend cheerfully upon the great Maker of the world, that He does not leave His creatures so absolutely destitute, but that in the worst circumstances they have always something to be thankful for, and sometimes are nearer deliverance than they imagine; nay, are even brought to their deliverance by the means by which they seem to be brought to their destruction.","Por esta razón, debemos confiar alegremente que el Supremo Creador jamás abandona a sus criaturas y que estas, incluso en las peores circunstancias, descubren algo por que darle gracias; y están más cerca de la salvación de lo que podrían imaginar, pues, a menudo, son conducidas a ella por los mismos medios que, al parecer, las llevaron a la ruina."
"No doubt he had invoked the help of the Holy Spirit to subdue the anger I had roused in him, and now believed he had forgiven me once more.",Sin duda había invocado la ayuda divina para dominar el disgusto que yo le causara y me había perdonado una vez más.
"If their intentions are evil they might do you a mischief, and we should be powerless to prevent it.",Si su intención es hacer el mal pueden darle un disgusto y no estaríamos en condiciones de impedirlo.
But the fog was not long in rising.,Pero la niebla no debía tardar en desaparecer.
"""Yes, sir, I certainly committed that imprudence; but why should I have done otherwise? A name like yours must be as a buckler to me on my way.","Sí, señor, sin duda cometí esa imprudencia; qué queréis, un nombre como el vuestro debía servirme de escudo en el camino."
"'No, why should you?'",–No. ¿Por qué va a ir usted?
"At breakfast, however, I informed him about my discovery, and asked him whether he would care to accompany me to Coombe Tracey.","A la hora del desayuno, sin embargo, le informé de mi descubrimiento y le pregunté si quería acompañarme a Coombe Tracey."
A man shut up between four walls soon loses the power to associate words and ideas together.,El que se encierra entre cuatro paredes acaba por perder la facultad de asociar las ideas y las palabras.
"She took his hand in both hers and drew it to her waist, not taking her eyes off him.","Ana, con ambas manos, tomó una de las de Vronsky, la pasó por su espalda para que el brazo de él le rodeara el talle y, estrechados así, le nllró fijamente, embelesada."
"Neither wife, parents, nor children are waiting for him back home.","Ni mujer, ni hijos, ni parientes le esperan."
"""Well, I don't doubt,"" I said, not to vex him; ""but, I ask, what need is there to hurry?""",—No —le dije con objeto de no contrariarle— pero quisiera saber qué le induce a proceder con tal precipitación.
"Having finished my task of gooseberry picking, I asked where the two ladies and their brother were now.","Una vez terminada mi tarea con las uvas, pregunté dónde se hallaban los tres hermanos en aquel momento."
"Levin had often admired that kind of life, had often envied the folk who lived it; but that day, especially after what he had seen for the first time of the relations between Vanka Parmenich and his young wife, it struck him that it depended on himself to change his wearisome, idle, and artificial personal life for that pure, delightful life of common toil.","Levin solía admirar esta vida y, con frecuencia, solía experimentar envidia de los que la vivían. Pero especialmente hoy, bajo la impresión de lo que viera en las relaciones de Iván Parmenov con su joven esposa, Levin pensó que de él dependía cambiar su vida de holganza, tan penosa, su vida artificial, vida de trabajo pura y alegre como la de los demás."
"""Besides,"" said she, ""the sum you required me to borrow was rather large.""","Pero es que, además dijo ella , la suma que pedíais prestada era algo fuerte."
